id,name,scope,input_modality,modality_tags,architecture,architecture_tags,downstream_tasks,training_scale,openness_text,openness,fm_strength,notes,primary_source_url,paper_url,code_url,weights_url,project_url,category,task_tags,openness_label,modelling_paradigm_key,modelling_paradigm,modality_complexity_tier_key,modality_complexity_tier,modality_complexity_score,reported_downstream_task_count,reported_downstream_task_count_basis
omnisat,OmniSat,Earth observation foundation model,"Aligned EO modalities: multispectral optical, SAR, aerial/spot time-series depending on augmented datasets.","[""optical"", ""SAR"", ""time series"", ""aerial""]",Self-supervised modality fusion architecture that merges diverse EO modalities using alignment.,[],"Three named task groups: forestry, land-cover classification, and crop mapping.",Creates two multimodal datasets by augmenting existing datasets; exact token count not reported in abstract.,Open source: code and datasets available.,open,Strong multimodal EO FM,Good multimodal fusion baseline.,https://doi.org/10.1007/978-3-031-73390-1_24,https://doi.org/10.1007/978-3-031-73390-1_24,https://github.com/gastruc/OmniSat,,,Vision / multimodal EO FM,"[""scene classification"", ""crop-type mapping""]",Open,joint_embedding,Joint-embedding / contrastive-predictive encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
presto,Presto,Earth observation foundation model,Pixel-level remote-sensing time series; multisensor tabular/time-series EO variables.,"[""time series""]",Lightweight transformer for remote-sensing time series.,"[""Transformer""]","Segmentation, multilabel scene classification, regression, and globally distributed tasks; used for crop, land-cover, biomass/agriculture-like time-series applications.",Designed to be lightweight. Exact token count not reported in summary; trained on remote-sensing pixel time-series.,Open source: MIT GitHub repository.,open,Partial / strong for time-series EO,"Not image-patch FM in the same sense as TerraMind, but very useful operationally.",https://arxiv.org/abs/2304.14065,https://arxiv.org/abs/2304.14065,https://github.com/nasaharvest/presto,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping"", ""regression / estimation""]",Open,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,4,task_label_count_fallback
earthpt,EarthPT,Earth observation foundation model,Optical spectral surface reflectance sequences over 400–2300 nm; temporal EO forecasting data.,"[""optical"", ""time series""]",Autoregressive decoding Transformer around 700M parameters; learns to forecast future pixel-level surface reflectances.,"[""Transformer""]",Dynamic land-use classification and temporally aware EO prediction/forecasting tasks.,"700M parameters; paper describes very large potential token space, but exact realized token count should be verified from full paper.",Partial / unclear.,partial,Emerging EO FM,More forecasting-oriented than segmentation benchmark-oriented.,https://arxiv.org/abs/2309.07207,https://arxiv.org/abs/2309.07207,https://github.com/aspiaspace/EarthPT,,,Vision / multimodal EO FM,"[""scene classification"", ""forecasting / prediction"", ""time-series analysis""]",Partial / unclear,embedding_field,Embedding product / representation field,generalist,Generalist models,4,3,task_label_count_fallback
earthmae-earthview,EarthMAE / EarthView,Earth observation foundation model,"Hyperspectral, multispectral, topographical, segmentation maps, and temporal structure from NEON/Sentinel/Satellogic.","[""optical"", ""time series""]",Masked autoencoder for multimodal EarthView dataset.,"[""Transformer"", ""MAE/MIM""]",Downstream remote-sensing tasks over Satellogic/NEON/Sentinel imagery; land-cover/segmentation-style adaptation.,"EarthView spans about 15 tera-pixels from NEON, Sentinel, and 1 m Satellogic imagery from 2017–2022.",Open source / partial.,partial,Emerging EO FM/dataset,Include mainly as an important dataset-backed MAE effort.,https://arxiv.org/abs/2301.04507,https://arxiv.org/abs/2301.04507,,,,Vision / multimodal EO FM,"[""semantic segmentation""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,1,task_label_count_fallback
terrafm,TerraFM,Earth observation foundation model,"Globally distributed Sentinel-1 SAR and Sentinel-2 optical imagery, with land-cover-aware sampling.","[""optical"", ""SAR""]",Scalable self-supervised model using radar/optical as natural augmentations; modality-specific encoders and shared representation.,"[""Transformer""]","Scene classification, semantic segmentation, and transfer to land-cover/environmental tasks reported in paper.",Globally distributed S1/S2 imagery with large spatial tiles; exact token count not reported in abstract.,Partial / unclear.,partial,Strong / emerging EO FM,Good for S1/S2 multimodal transfer.,https://arxiv.org/abs/2506.06281,https://arxiv.org/abs/2506.06281,https://github.com/mbzuai-oryx/TerraFM,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
thor,THOR,Earth observation foundation model,"Copernicus Sentinel-1, Sentinel-2, Sentinel-3 OLCI, and Sentinel-3 SLSTR at native 10 m to 1000 m resolutions.","[""optical"", ""SAR""]",Compute-adaptive foundation model; randomized patch and image-size pretraining; flexible patch-size inference without retraining.,[],"PANGAEA-style downstream climate and society applications; strong in data-limited 10% split. Task families include land-cover, crop, flood, burn scar, marine/debris, and environmental monitoring.","Pretrained on THOR Pretrain, a new large-scale multi-sensor dataset. Exact token count not reported in abstract.",Open/partial: verify released code/weights after paper publication.,partial,Strong / emerging EO FM,"Very new 2026 model, important for native-resolution flexibility.",https://arxiv.org/abs/2601.16011,https://arxiv.org/abs/2601.16011,https://github.com/FM4CS/THOR,,,Earth-system / climate FM,"[""crop-type mapping"", ""flood mapping"", ""burn-scar mapping""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,13,curated_reported_evaluations
olmoearth,OlmoEarth,Multimodal Earth observation foundation model,Multimodal spatio-temporal EO imagery and auxiliary geospatial modalities.,"[""optical"", ""SAR"", ""DEM"", ""climate"", ""time series""]",Stable latent image modeling for multimodal Earth observation.,"[""Generative"", ""Representation learning""]","Embeddings evaluated on 24 tasks; full fine-tuning reported on 29 tasks, including classification, segmentation, regression, and mapping applications. Exact task list should be checked against the paper when needed.","To be verified from the paper; source code, training data, and pretrained weights are reported as available.","Open source: code, training data, and pretrained weights reported available.",open,Strong / emerging EO FM,Important open multimodal EO foundation model. Full task names should be verified before using the count in a publication table.,https://arxiv.org/abs/2511.13655,https://arxiv.org/abs/2511.13655,https://github.com/allenai/olmoearth_pretrain,,,Multimodal / generative EO FM,"[""semantic segmentation"", ""scene classification"", ""regression / estimation""]",Open,generative_hybrid,Any-to-any generative / hybrid multimodal system,generalist,Generalist models,4,29,curated_reported_evaluations
satmamba,SatMamba,Earth observation foundation model,"High-resolution remote-sensing imagery, including long multiband/multitemporal sequences.","[""time series""]",Masked-autoencoding framework with State Space Model/Mamba backbone for linear scaling.,"[""MAE/MIM"", ""Mamba""]","High-resolution imagery tasks: classification, segmentation, object detection/change style transfer tasks, depending on benchmark.",Exact token count not reported in abstract; designed for long EO sequences where ViT quadratic scaling is costly.,Open source: code available in HRSFM repository.,open,Emerging EO FM,Architecture alternative to ViT/MAE.,https://arxiv.org/abs/2502.00435,https://arxiv.org/abs/2502.00435,https://github.com/mdchuc/HRSFM,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Open,state_space,State-space / sequence model,single_modality,Single-modality encoders,1,4,curated_reported_evaluations
saratr-x,SARATR-X,Earth observation foundation model,Synthetic Aperture Radar imagery.,"[""SAR""]","SAR-specialized foundation model, likely Transformer/MAE-style depending on variant.","[""Transformer"", ""MAE/MIM""]","SAR classification, detection, segmentation and transfer tasks.",Training scale not available from registry source reviewed.,Open source / partial.,partial,SAR-specific emerging FM,Verify paper before using in a formal exhaustive table.,https://ieeexplore.ieee.org/abstract/document/10856784,https://ieeexplore.ieee.org/abstract/document/10856784,https://github.com/waterdisappear/SARATR-X,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,2,task_label_count_fallback
sarmae,SARMAE,Earth observation foundation model,Synthetic Aperture Radar imagery.,"[""SAR""]",SAR-specific masked autoencoder.,"[""Transformer"", ""MAE/MIM""]","SAR image classification, target recognition, segmentation/change tasks.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,SAR-specific partial FM,Included from latest RSFM registry.,https://arxiv.org/abs/2512.16635,https://arxiv.org/abs/2512.16635,https://github.com/MiliLab/SARMAE,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification"", ""SAR target recognition""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,3,task_label_count_fallback
complex-sar-fm,Complex SAR FM,Earth observation foundation model,Complex-valued SAR / PolSAR-like data.,"[""SAR""]",Complex-valued foundation model architecture for SAR representations.,[],"SAR classification, segmentation and target/land-cover analysis.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,SAR-specific emerging FM,"Highly relevant to complex-valued SAR, but source-specific verification needed.",https://doi.org/10.1109/tip.2026.3652417,https://doi.org/10.1109/tip.2026.3652417,,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,2,task_label_count_fallback
crossearth-sar,CrossEarth-SAR,Earth observation foundation model,SAR plus cross-modal/cross-domain EO data.,"[""SAR""]",Cross-modal SAR representation learning / foundation model.,[],"SAR classification, segmentation, detection and cross-modal transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,SAR-specific emerging FM,Registry-listed; needs full paper check before claiming exact tasks.,https://arxiv.org/abs/2603.12008,https://arxiv.org/abs/2603.12008,https://github.com/VisionXLab/CrossEarth-SAR,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,2,task_label_count_fallback
ringmo,RingMo,Earth observation foundation model,"Remote-sensing imagery, mainly optical/high-resolution imagery.","[""optical""]",Masked image modeling with ring-shaped masking strategy for RS images.,"[""MAE/MIM""]","Scene classification, object detection, semantic segmentation, and RS transfer tasks.",Training scale varies by paper/version; exact token count not reported in registry source.,Open source / partial.,partial,Strong early RS FM,"Important Chinese RSFM family; later variants include RingMo-Sense, RingMo-Aerial, RingMoE, RingMamba.",https://ieeexplore.ieee.org/abstract/document/9844015,https://ieeexplore.ieee.org/abstract/document/9844015,https://github.com/comeony/RingMo,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
ringmo-sense,RingMo-Sense,Earth observation foundation model,"Remote-sensing imagery, broader sensor support than original RingMo.",[],RingMo-family masked modeling for RS data.,"[""MAE/MIM""]","Classification, detection, segmentation, and change/land-cover transfer tasks.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,Strong / partial RS FM,Registry-listed RingMo family variant.,https://ieeexplore.ieee.org/abstract/document/10254320,https://ieeexplore.ieee.org/abstract/document/10254320,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
ringmo-aerial,RingMo-Aerial,Earth observation foundation model,Aerial/high-resolution optical imagery.,"[""optical"", ""aerial""]",RingMo-family aerial-image foundation model.,[],"Aerial scene classification, object detection, segmentation and mapping tasks.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,Partial / aerial RS FM,Useful if your definition includes aerial RS.,https://doi.org/10.1109/tpami.2025.3602237,https://doi.org/10.1109/tpami.2025.3602237,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
ringmoe,RingMoE,Earth observation foundation model,"Remote-sensing imagery, multimodal/mixture expert variants.",[],Mixture-of-experts extension in RingMo family.,[],"Classification, detection, segmentation and RS transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging RS FM,Registry-listed variant; needs full paper verification.,https://doi.org/10.1109/tpami.2025.3643453,https://doi.org/10.1109/tpami.2025.3643453,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
ringmamba,RingMamba,Earth observation foundation model,Remote-sensing imagery.,[],Mamba/state-space inspired RingMo-family architecture.,"[""Mamba""]","Classification, segmentation, detection and transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging RS FM,Architecture-diversity row.,https://doi.org/10.1109/tgrs.2025.3603998,https://doi.org/10.1109/tgrs.2025.3603998,https://github.com/ningerhhh/RIFR,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,state_space,State-space / sequence model,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
agrifm,AgriFM,Earth observation foundation model,"Multi-source temporal remote-sensing data for agriculture, likely optical/SAR/time-series depending on dataset.","[""optical"", ""SAR"", ""time series""]",Agriculture-focused temporal RS foundation model.,[],"Crop mapping, crop-type classification, field/agricultural segmentation and agriculture monitoring.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Domain-specific EO FM,Strong domain specialization but narrower than general EO FMs.,https://doi.org/10.1016/j.rse.2026.115234,https://doi.org/10.1016/j.rse.2026.115234,https://github.com/flyakon/AgriFM,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
panopticon,Panopticon,Earth observation foundation model,Remote-sensing imagery; likely high-resolution optical with dense labels.,"[""optical""]",General RS visual foundation/pretraining model.,[],"Classification, segmentation, detection and panoptic-style RS tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging / partial EO FM,"Registry-listed, source-specific details need verification.",https://arxiv.org/abs/2503.10845,https://arxiv.org/abs/2503.10845,https://github.com/Panopticon-FM/panopticon,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
maestro,MAESTRO,Earth observation foundation model,Remote-sensing imagery and/or time-series depending on version.,"[""time series""]",Masked/self-supervised EO representation model.,"[""MAE/MIM""]","Classification, segmentation and transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging / partial EO FM,Registry-listed; fill exact tasks after full paper reading.,https://openaccess.thecvf.com/content/WACV2026/papers/Labatie_MAESTRO_Masked_AutoEncoders_for_Multimodal_Multitemporal_and_Multispectral_Earth_Observation_WACV_2026_paper.pdf,https://openaccess.thecvf.com/content/WACV2026/papers/Labatie_MAESTRO_Masked_AutoEncoders_for_Multimodal_Multitemporal_and_Multispectral_Earth_Observation_WACV_2026_paper.pdf,https://github.com/IGNF/MAESTRO,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
mtp,MTP,Earth observation foundation model,Remote-sensing imagery and temporal data.,"[""time series""]",Multi-task/multi-temporal pretraining architecture.,[],"Classification, segmentation, detection/change and temporal transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Partial EO FM,Registry-listed; not enough public summary detail for exact token count.,https://doi.org/10.1109/jstars.2024.3408154,https://doi.org/10.1109/jstars.2024.3408154,https://github.com/ViTAE-Transformer/MTP,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""time-series analysis""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
rs-dfm,RS-DFM,Earth observation foundation model,Remote-sensing collaborative perception data; aerial/drone-style multimodal scenes.,"[""aerial""]",Distributed foundation model for collaborative remote-sensing perception.,[],"AirCo-MultiTasks: 3D object detection, instance segmentation, and trajectory prediction.",Training scale not reported in abstract snippet reviewed.,Partial / unclear.,partial,Specialized RS FM,More collaborative perception than classic satellite EO.,https://arxiv.org/abs/2406.07035,https://arxiv.org/abs/2406.07035,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""object detection"", ""forecasting / prediction""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
oreole-fm,OReole-FM,Earth observation foundation model,"Remote-sensing imagery, likely optical multispectral/high-resolution.","[""optical""]",Optical RS foundation model; masked/contrastive pretraining family.,"[""MAE/MIM""]","Classification, detection, segmentation and transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging / partial EO FM,Registry-listed.,https://doi.org/10.1145/3678717.3691292,https://doi.org/10.1145/3678717.3691292,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,joint_embedding,Joint-embedding / contrastive-predictive encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
satvision-toa,SatVision-TOA,Earth observation foundation model,Top-of-atmosphere satellite imagery.,[],Foundation model for satellite imagery at TOA level.,[],"Classification, segmentation and transfer tasks for raw/TOA-like satellite data.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging EO FM,Potentially important for physical/preprocessing-aware EO.,https://arxiv.org/abs/2411.17000,https://arxiv.org/abs/2411.17000,https://github.com/nasa-nccs-hpda/pytorch-caney,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
wv-net,WV-Net,Earth observation foundation model,WorldView/high-resolution commercial satellite imagery.,[],High-resolution satellite foundation/pretraining model.,[],"Object detection, segmentation, scene classification and high-resolution mapping.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,HR optical partial FM,Include if commercial/high-res EO is in scope.,https://arxiv.org/abs/2406.18765,https://arxiv.org/abs/2406.18765,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
summit,SUMMIT,Earth observation foundation model,Remote-sensing imagery; likely multimodal or multiscale visual inputs.,[],Self-supervised/multimodal RS foundation model.,[],"Classification, segmentation, detection/change transfer tasks.",Training scale not reported in registry source reviewed.,Partial / unclear.,partial,Emerging / partial EO FM,Registry-listed; exact details need full paper verification.,https://doi.org/10.1016/j.jag.2025.104624,https://doi.org/10.1016/j.jag.2025.104624,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
esfm,ESFM,Earth observation foundation model,"Earth-system heterogeneous data: climate/weather grids, satellite data with missing values, station data and other spatio-temporal variables.","[""climate"", ""time series""]",Earth System Foundation Model built on 3D Swin UNet/Aurora-style backbone with missing-data and heterogeneous-data extensions.,[],"Forecasting, climate/weather downstream applications, downscaling/assimilation-style tasks and heterogeneous Earth-system modeling.",Exact token count not reported in abstract. Fully open model announced; Earth-system rather than pure EO imagery.,Open source reported.,open,Earth-system FM adjacent to EO,Include in an appendix or separate section if your table is strictly EO satellite imagery.,https://arxiv.org/abs/2605.00850,https://arxiv.org/abs/2605.00850,,,,Earth-system / climate FM,"[""forecasting / prediction""]",Open,transformer_masked,Transformer / masked-reconstruction encoder,generalist,Generalist models,4,1,task_label_count_fallback
prithvi-wxc,Prithvi WxC,Earth observation foundation model,"Weather and climate variables from reanalysis/observation datasets, not primarily satellite imagery.","[""climate""]",2.3B parameter weather/climate foundation model.,[],"Autoregressive forecasting, downscaling, gravity wave flux parameterization, and extreme-event applications.",2.3B parameters; trained on large weather/climate data such as MERRA-2 variables.,Open source / partial: Hugging Face resources reported.,partial,Earth-system FM adjacent to EO,Useful for EO+climate table but separate from visual EO FMs.,https://arxiv.org/abs/2409.13598,https://arxiv.org/abs/2409.13598,,,,Earth-system / climate FM,"[""forecasting / prediction""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,1,task_label_count_fallback
remoteclip,RemoteCLIP,EO / remote-sensing vision-language foundation model,Image-text remote-sensing pairs; optical RS images plus captions/text.,"[""optical"", ""text""]",CLIP-style contrastive vision-language model.,"[""CLIP/VLM""]","Image-text retrieval, zero-shot scene classification, caption-aligned RS search, visual-language transfer.",Training scale varies by dataset; exact token/image count not in registry source reviewed.,Open source / partial.,partial,RS vision-language FM,Not a pure visual EO FM; include if language-capable FMs are in scope.,https://arxiv.org/abs/2306.11029,https://arxiv.org/abs/2306.11029,https://github.com/ChenDelong1999/RemoteCLIP,,,Vision-language / MLLM,"[""scene classification"", ""image-text retrieval"", ""zero-shot classification"", ""captioning""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,4,curated_reported_evaluations
georsclip,GeoRSCLIP,EO / remote-sensing vision-language foundation model,Remote-sensing imagery plus geospatial text/captions.,"[""text""]",CLIP-style geospatial contrastive pretraining.,"[""CLIP/VLM""]","Zero-shot classification, image-text retrieval, cross-modal search and representation transfer.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS VLM,Good for language-aligned EO retrieval.,https://arxiv.org/abs/2306.11300,https://arxiv.org/abs/2306.11300,https://github.com/om-ai-lab/RS5M,,,Vision-language / MLLM,"[""scene classification"", ""image-text retrieval"", ""zero-shot classification""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,3,task_label_count_fallback
skyclip,SkyCLIP,EO / remote-sensing vision-language foundation model,Remote-sensing image-text pairs.,"[""text""]",CLIP-style contrastive model.,"[""CLIP/VLM""]","Image-text retrieval, zero-shot classification, caption search.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS VLM,Registry-listed.,https://arxiv.org/abs/2312.12856,https://arxiv.org/abs/2312.12856,https://github.com/wangzhecheng/SkyScript,,,Vision-language / MLLM,"[""scene classification"", ""image-text retrieval"", ""zero-shot classification"", ""captioning""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,4,task_label_count_fallback
earthgpt,EarthGPT,EO / remote-sensing vision-language foundation model,Remote-sensing images plus language prompts/instructions.,"[""text""]",Multimodal large language model for RS/EO.,"[""CLIP/VLM""]","Visual question answering, captioning, scene understanding, object/region reasoning, instruction following.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,Language model rather than visual encoder-only FM.,https://doi.org/10.1109/tgrs.2024.3409624,https://doi.org/10.1109/tgrs.2024.3409624,https://github.com/wivizhang/EarthGPT,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,5,curated_reported_evaluations
geochat,GeoChat,EO / remote-sensing vision-language foundation model,Remote-sensing imagery plus language dialogue.,"[""text""]",Remote-sensing multimodal chat/MLLM.,"[""MLLM""]","VQA, captioning, region grounding, image interpretation, visual reasoning.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,Useful in EO FM landscape but not always counted as sensor foundation model.,https://openaccess.thecvf.com/content/CVPR2024/html/Kuckreja_GeoChat_Grounded_Large_Vision-Language_Model_for_Remote_Sensing_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/html/Kuckreja_GeoChat_Grounded_Large_Vision-Language_Model_for_Remote_Sensing_CVPR_2024_paper.html,https://github.com/mbzuai-oryx/GeoChat,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""visual grounding / referring"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,5,curated_reported_evaluations
rs-llava,RS-LLaVA,EO / remote-sensing vision-language foundation model,Remote-sensing images plus instruction data.,[],LLaVA-style RS multimodal instruction model.,"[""MLLM""]","Captioning, VQA, scene/object reasoning, instruction following.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,Instruction-tuned VLM.,https://www.mdpi.com/2072-4292/16/9/1477,https://www.mdpi.com/2072-4292/16/9/1477,https://github.com/BigData-KSU/RS-LLaVA,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,3,task_label_count_fallback
lhrs-bot,LHRS-Bot,EO / remote-sensing vision-language foundation model,Large-scale high-resolution RS images plus text/instructions.,"[""text""]",Remote-sensing chatbot/MLLM.,"[""MLLM""]","High-resolution RS VQA, captioning, scene interpretation, object reasoning.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,High-resolution language interface row.,https://arxiv.org/abs/2402.02544,https://arxiv.org/abs/2402.02544,https://github.com/NJU-LHRS/LHRS-Bot,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,3,task_label_count_fallback
ringmogpt,RingMoGPT,EO / remote-sensing vision-language foundation model,Remote-sensing images plus language prompts.,"[""text""]",RingMo-family vision encoder connected to GPT/LLM.,"[""Transformer"", ""MLLM""]","Captioning, VQA, scene interpretation and RS dialogue.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,RingMo language branch.,https://ieeexplore.ieee.org/document/10777289,https://ieeexplore.ieee.org/document/10777289,,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,3,task_label_count_fallback
skysensegpt,SkySenseGPT,EO / remote-sensing vision-language foundation model,SkySense visual representations plus LLM/instruction data.,[],SkySense-family multimodal language model.,"[""CLIP/VLM""]","VQA, captioning, image interpretation and dialogue.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS MLLM,SkySense language branch.,https://arxiv.org/abs/2406.10100,https://arxiv.org/abs/2406.10100,https://github.com/Luo-Z13/SkySenseGPT,,,Vision-language / MLLM,"[""captioning"", ""visual question answering"", ""reasoning / instruction following""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,4,curated_reported_evaluations
dofa-clip,DOFA-CLIP,EO / remote-sensing vision-language foundation model,Spectral/EO imagery plus language alignment.,"[""text""]",DOFA-style spectral dynamic encoder aligned with CLIP-like text space.,"[""Transformer"", ""CLIP/VLM""]","Zero-shot classification, image-text retrieval, spectral-language transfer.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS VLM,Interesting bridge between DOFA and CLIP.,https://arxiv.org/abs/2503.06312,https://arxiv.org/abs/2503.06312,https://github.com/xiong-zhitong/GeoLB-SigLIP,,,Vision-language / MLLM,"[""scene classification"", ""image-text retrieval"", ""zero-shot classification""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,3,task_label_count_fallback
geoground,GeoGround,EO / remote-sensing vision-language foundation model,Remote-sensing imagery plus grounding expressions.,[],Vision-language grounding model.,"[""CLIP/VLM""]","Referring-expression grounding, object localization, region-text alignment.",Training scale not reported in registry source reviewed.,Open source / partial.,partial,RS VLM/grounding,"Grounding-specific, not a general sensor FM.",https://arxiv.org/abs/2411.11904,https://arxiv.org/abs/2411.11904,https://github.com/zytx121/GeoGround,,,Vision-language / MLLM,"[""visual grounding / referring""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,1,task_label_count_fallback
